"dato","fangst_i_kg"
"2013-10-14","1425"
"2013-10-15","1434"
"2013-10-16","1386"
"2013-10-17","2986"
"2013-10-18","1994"
"2013-10-19","289"
"2013-10-21","479504"
"2013-10-22","1930"
"2013-10-23","1153"
"2013-10-24","561318"
"2013-10-25","449"
"2013-10-26","428"
"2013-10-28","5439"
"2013-10-29","3831"
"2013-10-30","925509"
"2013-10-31","1442"
"2013-11-01","4742"
"2013-11-02","1271"
"2013-11-03","708"
"2013-11-04","6717"
"2013-11-05","17568"
"2013-11-06","313709"
"2013-11-07","4887"
"2013-11-08","5049"
"2013-11-09","2232"
"2013-11-10","702122"
"2013-11-11","1217"
"2013-11-12","742"
"2013-11-13","440"
"2013-11-14","2219"
"2013-11-15","282"
"2013-11-18","183"
"2013-11-19","356"
"2013-11-20","5237"
"2013-11-21","8439"
"2013-11-22","621957"
"2013-11-25","50"
"2013-11-26","513781"
"2013-11-27","4734"
"2013-11-28","1187"
"2013-11-29","6014"
"2013-11-30","609936"
"2013-12-01","846"
"2013-12-02","593442"
"2013-12-03","90304"
"2013-12-04","2882"
"2013-12-05","14262"
"2013-12-06","9925"
"2013-12-07","9703"
"2013-12-08","160403"
"2013-12-09","15659"
"2013-12-10","330870"
"2013-12-11","164"
"2013-12-12","3585"
"2013-12-13","776"
"2013-12-14","5438"
"2013-12-15","6057"
"2013-12-16","8487"
"2013-12-17","10508"
"2013-12-18","8793"
"2013-12-19","1474"
"2013-12-20","92483"
"2013-12-21","568757"
"2013-12-22","1593919"
"2013-12-26","566459"
"2013-12-28","717"
"2013-12-29","30"
"2013-12-30","351"
"2013-12-31","479"
"2014-01-01","118473"
"2014-01-02","60501"
"2014-01-03","96157"
"2014-01-04","81414"
"2014-01-05","11310"
"2014-01-06","161668"
"2014-01-07","136755"
"2014-01-08","168192"
"2014-01-09","65494"
"2014-01-10","158219"
"2014-01-11","212245"
"2014-01-12","129926"
"2014-01-13","1304488"
"2014-01-14","404561"
"2014-01-15","1173519"
"2014-01-16","851240"
"2014-01-17","623576"
"2014-01-18","1166841"
"2014-01-19","245361"
"2014-01-20","802038"
"2014-01-21","642576"
"2014-01-22","1319673"
"2014-01-23","1030239"
"2014-01-24","805331"
"2014-01-25","350429"
"2014-01-26","228638"
"2014-01-27","670725"
"2014-01-28","1577646"
"2014-01-29","654108"
"2014-01-30","821805"
"2014-01-31","908087"
"2014-02-01","587042"
"2014-02-02","291656"
"2014-02-03","795498"
"2014-02-04","372751"
"2014-02-05","1123857"
"2014-02-06","1840429"
"2014-02-07","1182059"
"2014-02-08","536215"
"2014-02-09","429672"
"2014-02-10","1279652"
"2014-02-11","1282382"
"2014-02-12","1338727"
"2014-02-13","1897431"
"2014-02-14","909120"
"2014-02-15","807303"
"2014-02-16","203240"
"2014-02-17","1471737"
"2014-02-18","1335942"
"2014-02-19","1064105"
"2014-02-20","1124288"
"2014-02-21","837464"
"2014-02-22","397606"
"2014-02-23","212009"
"2014-02-24","244603"
"2014-02-25","49066"
"2014-02-26","937799"
"2014-02-27","1742175"
"2014-02-28","1070145"
"2014-03-01","812918"
"2014-03-02","426056"
"2014-03-03","1252164"
"2014-03-04","1304559"
"2014-03-05","1151923"
"2014-03-06","251291"
"2014-03-07","81531"
"2014-03-08","19415"
"2014-03-09","42997"
"2014-03-10","14800"
"2014-03-11","95144"
"2014-03-12","725703"
"2014-03-13","220139"
"2014-03-14","53146"
"2014-03-15","1522"
"2014-03-16","174019"
"2014-03-17","993190"
"2014-03-18","863277"
"2014-03-19","810051"
"2014-03-20","653193"
"2014-03-21","332764"
"2014-03-22","235165"
"2014-03-23","156505"
"2014-03-24","1076471"
"2014-03-25","515478"
"2014-03-26","461300"
"2014-03-27","730754"
"2014-03-28","823339"
"2014-03-29","150616"
"2014-03-30","35570"
"2014-03-31","650551"
"2014-04-01","557945"
"2014-04-02","97828"
"2014-04-03","164680"
"2014-04-04","415737"
"2014-04-05","46110"
"2014-04-06","95721"
"2014-04-07","420643"
"2014-04-08","206129"
"2014-04-09","221573"
"2014-04-10","354554"
"2014-04-11","134783"
"2014-04-12","38397"
"2014-04-13","76276"
"2014-04-14","55105"
"2014-04-15","9878"
"2014-04-16","6630"
"2014-04-21","8453"
"2014-04-22","4661"
"2014-04-23","48998"
"2014-04-24","57820"
"2014-04-25","78696"
"2014-04-26","34962"
"2014-04-28","464377"
"2014-04-29","11864"
"2014-04-30","23636"
"2014-05-01","5595"
"2014-05-02","192495"
"2014-05-03","7281"
"2014-05-04","2145"
"2014-05-05","23168"
"2014-05-06","18192"
"2014-05-07","9637"
"2014-05-08","7315"
"2014-05-09","9670"
"2014-05-10","2405"
"2014-05-11","2798"
"2014-05-12","7310"
"2014-05-13","5443"
"2014-05-14","8078"
"2014-05-15","246353"
"2014-05-16","223625"
"2014-05-19","3416"
"2014-05-20","5328"
"2014-05-21","4353"
"2014-05-22","27445"
"2014-05-23","6368"
"2014-05-24","4559"
"2014-05-26","4328"
"2014-05-27","412524"
"2014-05-28","19770"
"2014-05-29","150"
"2014-05-30","5819"
"2014-05-31","4364"
"2014-06-01","8"
"2014-06-02","8169"
"2014-06-03","16298"
"2014-06-04","56976"
"2014-06-05","22596"
"2014-06-06","23184"
"2014-06-07","20"
"2014-06-10","606939"
"2014-06-11","9347"
"2014-06-12","15751"
"2014-06-13","7289"
"2014-06-14","2535"
"2014-06-16","379959"
"2014-06-17","418850"
"2014-06-18","2900"
"2014-06-19","3657"
"2014-06-20","13203"
"2014-06-21","117"
"2014-06-23","4617"
"2014-06-24","5168"
"2014-06-25","5297"
"2014-06-26","1992"
"2014-06-27","1070"
"2014-06-28","852"
"2014-06-29","500"
"2014-06-30","44733"
"2014-07-01","258959"
"2014-07-02","26677"
"2014-07-03","1097"
"2014-07-04","343047"
"2014-07-05","17"
"2014-07-07","9995"
"2014-07-08","865222"
"2014-07-09","24897"
"2014-07-10","23681"
"2014-07-11","380"
"2014-07-12","141"
"2014-07-14","7768"
"2014-07-15","5327"
"2014-07-16","11647"
"2014-07-17","26422"
"2014-07-18","262760"
"2014-07-19","311"
"2014-07-21","472"
"2014-07-22","952520"
"2014-07-23","485"
"2014-07-24","957"
"2014-07-25","21033"
"2014-07-26","349"
"2014-07-28","1412"
"2014-07-29","1628"
"2014-07-30","888"
"2014-07-31","17987"
"2014-08-01","813"
"2014-08-02","669"
"2014-08-04","687273"
"2014-08-05","1810"
"2014-08-06","229710"
"2014-08-07","13320"
"2014-08-08","2027"
"2014-08-09","1598"
"2014-08-10","110"
"2014-08-11","2366"
"2014-08-12","1185"
"2014-08-13","15877"
"2014-08-14","559579"
"2014-08-15","890"
"2014-08-16","1154"
"2014-08-17","35"
"2014-08-18","175587"
"2014-08-19","743"
"2014-08-20","1050"
"2014-08-21","1067"
"2014-08-22","593"
"2014-08-23","1473"
"2014-08-24","1682"
"2014-08-25","2841"
"2014-08-26","1718"
"2014-08-27","2494"
"2014-08-28","190902"
"2014-08-29","4390"
"2014-08-30","1555"
"2014-08-31","785"
"2014-09-01","4523"
"2014-09-02","21087"
"2014-09-03","51335"
"2014-09-04","474"
"2014-09-05","1362"
"2014-09-06","1898"
"2014-09-07","349"
"2014-09-08","2616"
